Name of the Part,Quantity,Individual Price,Total Price,Status,Link
3A Inline Holder Pigtail,1,5.99,5.99,Not Owned,https://www.amazon.com/CHANZON-Cartridge-Inline-Holder-Pigtail/dp/B083R51G4M/ref=sr_1_10?crid=10IL8KI6R3UC5&dib=eyJ2IjoiMSJ9.azOPZWcIT-8CNpsbOBjVzlMHYPHEwv8paueuXUpVuep7faGDRocqaLabwz7yEi-48Jb3eQiSuoEEFlrTF7BZqTPc0qKtl23nXQsL0JiGNcnXMzcvisHIw-6_pcCZUOlG_nvFwAyzxyljiy-TsT11ezDqRP8eIE0PYSOuXg_ACP22de0dqoWocUJQniasbey1U0gtVqkwZ7FGwNpOcJhd0E8arH6nbJJXWCX4sWzegPZtA9xHlj41_MAKS5tXwIEjkDVDw2OUrJIvM844pcmaBEcqPPwbZcAWIaU85ly7eXk.5ueQL2uavUoxjjqL_AVqzu475XFHqV7ShUqQf0SFUPs&dib_tag=se&keywords=5x20+mm+inline+fuse+holder&qid=1782661813&s=industrial&sprefix=5x20+mm+inline+fuse+hold%2Cindustrial%2C142&sr=1-10
,,,,,
M3 brass heat-set inserts,1,3.52,3.52,Owned,https://www.aliexpress.us/item/3256806651793931.html?spm=a2g0o.productlist.main.7.3085lnGtlnGth9&algo_pvid=aff0fdac-6808-4241-882a-0473da262fc8&algo_exp_id=aff0fdac-6808-4241-882a-0473da262fc8-6&pdp_ext_f=%7B%22order%22%3A%2211123%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.95%210.99%21%21%2126.72%216.69%21%402103128817826759835896592ef1ab%2112000038467725119%21sea%21US%217848567536%21ABX%211%210%21n_tag%3A-29910%3Bd%3A548d1a24%3Bm03_new_user%3A-29895%3BpisId%3A5000000207262936&curPageLogUid=d2tWsmQmBrUu&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006838108683%7C_p_origin_prod%3A
M3 Assorted Screw Set,1,0.99,0.99,Owned,https://www.aliexpress.us/item/3256807011368573.html?spm=a2g0o.order_list.order_list_main.23.2ded1802jo0zMm&gatewayAdapt=glo2usa
M2.5 & M3 Nylon Hex Spacer Kit,1,9.99,9.99,Not Owned,https://www.amazon.com/Jiahezhi-Standoffs-Motherboard-Assembly-Electronics/dp/B0GHQ1BZNZ/ref=sr_1_3?crid=1I8VNPBHHH9IQ&dib=eyJ2IjoiMSJ9.taWSTeG7zN-991pq5-JZpuDjiDNkOjcucmZJdK26bgYdTyYfb2NmXRKT_l-gcvMTj0XdLurb8zBo1MlcVwE8wfw-Sjv9f7wjUQDkuvjNwp6b7N-o9NhiwFhvmSA_EJ3_Je3pKv49E34xDG1Qu9zei9MLbEy6lIeIqJ8jHWGQ3Qnxoe8hIWaPB7XmzlzbXxoqKh-ffXwdDmYOQ-28f8_ASUHLAhUgjcRSfG5OXB-24ALAUqSL5KphdvtDxz18H_xWmAS1BeOZmOgGIDvV9Lv90vN56JM6e6pE71-XwBrF0Hg.fIYSfBgsQSQwLp9rCt62ehkfIijui-Nle6F62jDcIds&dib_tag=se&keywords=440%2BPcs%2BM2.5%2Band%2BM3%2BStandoff%2Band%2BScrews%2BKit&nsdOptOutParam=true&qid=1783652278&s=hi&sprefix=440%2Bpcs%2Bm2.5%2Band%2Bm3%2Bstandoff%2Band%2Bscrews%2Bkit%2Ctools%2C129&sr=1-3&th=1
Perfboard Kit (20 pc),`,7.99,7.99,Not Owned,https://www.amazon.com/Chanzon-Universal-Perfboard-Soldering-Compatible/dp/B07LF78ZY3?th=1
Electrical Wire 14 AWG 14 Gauge Silicone Wire Hook Up Wire Cable 20 Feet [10 ft Black and 10 ft Red] Soft and Flexible 400 Strands 0.08 mm of Tinned Copper Wire High Temperature Resistance,1,9.88,9.88,Not Owned,https://www.amazon.com/Electrical-Silicone-Flexible-Temperature-Resistance/dp/B0746H96QK/ref=sr_1_7?crid=DTP5V78XIZ1V&dib=eyJ2IjoiMSJ9.hUkH-0f-gPELVYvtSDgi0Cv5wIuGObgOldZhxRVI4_LHG2Dj2rTItbpEniORVA16NKknCuhXnU5Luia6L5opTVSjNgqIF_4QvnwJZoPPK6dO4ukN2qZfWeXU9nS5IIbJcwJAdtqun_DpB9GnsdIX9y5R82cLohGkXsznbY37DG05G_VI36YD3TKwj3Rj5gUHNsFIIvTYp4N7w4jDsF79QflBF1O9uRLxmmcp13F2C5ZqezZMJELOw1755rk1Nu1ydXhLIDJUknF89CcTIMFPJy37AjlZN9-ESRooAjyv-as.i0a5OHbOrex_3AeqnpiRirv8iH0Dh9-hsank8wVnpJ4&dib_tag=se&keywords=14%2BAWG%2Bsilicone%2Bwire%2C%2Bred%2Bblack%2C%2B2m%2Beach&qid=1781896092&s=industrial&sprefix=14%2Bawg%2Bsilicone%2Bwire%2C%2Bred%2Bblack%2C%2B2m%2Beach%2Cindustrial%2C135&sr=1-7&th=1
Acoustic Damping Foam 1/2 inch,1,11.5,11.5,Not Owned,https://www.parts-express.com/Sonic-Barrier-1-2-Acoustic-Foam-w-PSA-18-x-24-260-520?quantity=1
,,,,,
" WONDOM TPA3116D2 stereo Class-D board, analog 3.5mm input",1,9.99,9.99,Not Owned,https://www.amazon.com/Receiver-Amplifier-TPA3116-Bypass-Background/dp/B0FHKNZHT8/ref=sr_1_25?dib=eyJ2IjoiMSJ9.vbytIYn2J9S2Pq7nozM1R7oyYf85VrAB30FSd7eUPklNlL9o_LJDnt_mEGQizWbzWWj7aP9hCS-ZU0CyyEE-loDG5fbt2TCpW7E2G53tXYyzCDA21a6T33PZBZM5rrgUlm8muC4NQdwRaxuXXqx7X0YT6SF8L9siq0wvB1SIbfEX1025zrphO0TsvOF3skyAMUNE3CmZVH9IOw3hkccvVJPCOp5gIjpPuBsWw_d6nIOvNGkpZPbTHPftrkW4i7eBe23OZ7PUVm2SUxD17cOD8FXxczTqIcg8cBHCKLxStEg.NCm2gOaaUec6Obh1k8CJV4xwUxmkt401fvEJqYMv9TU&dib_tag=se&keywords=TPA3116D2&qid=1783654324&s=electronics&sr=1-25
,,,,,
Soldering Iron Kit ,1,24.99,24.99,Owned,https://www.amazon.com/Soldering-Iron-Kit-Temperature-Desoldering/dp/B07S61WT16?ref_=ast_sto_dp&th=1
XTC-3D,1,19.99,19.99,Not Owned,https://www.amazon.com/Smooth-XTC-3DTM-Special-Effects-Silicone/dp/B01BKSLI9M/ref=sr_1_1?crid=LF7BXCETHFWE&dib=eyJ2IjoiMSJ9.5fukMt_h-e9D7jv5GnI23xBfyw0RTsbODnLHPP3BpYYyNny9Rp0JpnBRG-HZ8ufswRvXrgyKVwK94d0H4xYWA3WkaRMK1hcw1hjxcN1a-_oiVYIVqyUIweS60JETzOz0rKDHui2UBHUQ5aW5oQysqVTI2EhqPCans2gPnsDDXTA.fY7iCEb4IKhPU08wCz7NaAgDBUPe4lTo_bqS0E65ues&dib_tag=se&keywords=XTC-3D&qid=1782660212&sprefix=xtc-3d%2Caps%2C207&sr=8-1&th=1
Kapton Tape,1,3.12,3.12,Owned,https://www.aliexpress.us/item/3256806095164363.html?spm=a2g0o.productlist.main.4.4070e3794tT9gb&aem_p4p_detail=20260628113357798358763900750002309709&algo_pvid=96f07e7d-bd9b-477c-8f74-7708d28bee82&algo_exp_id=96f07e7d-bd9b-477c-8f74-7708d28bee82-3&pdp_ext_f=%7B%22order%22%3A%223163%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.03%210.99%21%21%216.97%216.70%21%402103123917826716369511955e356f%2112000036594893885%21sea%21US%217848567536%21ABX%211%210%21n_tag%3A-29910%3Bd%3A548d1a24%3Bm03_new_user%3A-29895%3BpisId%3A5000000208023469&curPageLogUid=0f6kC8lXuGdc&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006281479115%7C_p_origin_prod%3A&search_p4p_id=20260628113357798358763900750002309709_1
